ess_criterion,habitual_tendency,repetition,episode,n_samples
500,1.0,15,38,4295
500,1.0,15,39,3362
500,1.0,15,40,5066
500,1.0,15,41,3275
500,1.0,15,42,4119
500,1.0,15,43,3782
500,1.0,15,44,3904
500,1.0,15,45,2621
500,1.0,15,46,3018
500,1.0,15,47,3894
500,1.0,15,48,3501
500,1.0,15,49,2753
500,1.0,15,50,3579
500,1.0,16,1,35326
500,1.0,16,2,29457
500,1.0,16,3,21110
500,1.0,16,4,18255
500,1.0,16,5,16486
500,1.0,16,6,17668
500,1.0,16,7,18680
500,1.0,16,8,12269
500,1.0,16,9,11114
500,1.0,16,10,11542
500,1.0,16,11,11358
500,1.0,16,12,10383
500,1.0,16,13,8101
500,1.0,16,14,8170
500,1.0,16,15,8425
500,1.0,16,16,7192
500,1.0,16,17,7376
500,1.0,16,18,6176
500,1.0,16,19,5539
500,1.0,16,20,6880
500,1.0,16,21,5638
500,1.0,16,22,6707
500,1.0,16,23,6176
500,1.0,16,24,6450
500,1.0,16,25,4391
500,1.0,16,26,5203
500,1.0,16,27,3652
500,1.0,16,28,4619
500,1.0,16,29,5153
500,1.0,16,30,4288
500,1.0,16,31,3358
500,1.0,16,32,3936
500,1.0,16,33,3924
500,1.0,16,34,4692
500,1.0,16,35,3383
500,1.0,16,36,4277
500,1.0,16,37,2565
500,1.0,16,38,3494
500,1.0,16,39,3245
500,1.0,16,40,3144
500,1.0,16,41,5141
500,1.0,16,42,2806
500,1.0,16,43,3446
500,1.0,16,44,2640
500,1.0,16,45,3781
500,1.0,16,46,3069
500,1.0,16,47,3028
500,1.0,16,48,2946
500,1.0,16,49,3092
500,1.0,16,50,3660
500,1.0,17,1,42785
500,1.0,17,2,32273
500,1.0,17,3,32770
500,1.0,17,4,24565
500,1.0,17,5,19015
500,1.0,17,6,17619
500,1.0,17,7,17866
500,1.0,17,8,14207
500,1.0,17,9,12207
500,1.0,17,10,9289
500,1.0,17,11,11020
500,1.0,17,12,8938
500,1.0,17,13,10308
500,1.0,17,14,8246
500,1.0,17,15,10370
500,1.0,17,16,7978
500,1.0,17,17,7254
500,1.0,17,18,5600
500,1.0,17,19,6644
500,1.0,17,20,7842
500,1.0,17,21,7702
500,1.0,17,22,4428
500,1.0,17,23,4612
500,1.0,17,24,4862
500,1.0,17,25,4360
500,1.0,17,26,6571
500,1.0,17,27,4025
500,1.0,17,28,4168
500,1.0,17,29,4778
500,1.0,17,30,4125
500,1.0,17,31,4548
500,1.0,17,32,4658
500,1.0,17,33,6216
500,1.0,17,34,4156
500,1.0,17,35,4441
500,1.0,17,36,3389
500,1.0,17,37,5004
500,1.0,17,38,3971
500,1.0,17,39,3695
500,1.0,17,40,2344
500,1.0,17,41,2905
500,1.0,17,42,3617
500,1.0,17,43,3399
500,1.0,17,44,4049
500,1.0,17,45,2474
500,1.0,17,46,3097
500,1.0,17,47,2973
500,1.0,17,48,3059
500,1.0,17,49,2470
500,1.0,17,50,3299
500,1.0,18,1,32165
